Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Lubuk Linggau Timur Dua (II), Lubuk Linggau, Sumatera Selatan, 3423
Lubuk Linggau Timur Satu (I), Lubuk Linggau, Sumatera Selatan, 3424
Lubuk Linggau Utara Dua (II), Lubuk Linggau, Sumatera Selatan, 3425
Lubuk Linggau Utara Satu (I), Lubuk Linggau, Sumatera Selatan, 3426
Candipuro, Lumajang, Jawa Timur, 3427
Gucialit, Lumajang, Jawa Timur, 3428
Jatiroto, Lumajang, Jawa Timur, 3429
Kedungjajang, Lumajang, Jawa Timur, 3430
Klakah, Lumajang, Jawa Timur, 3431
Kunir, Lumajang, Jawa Timur, 3432
Lumajang, Lumajang, Jawa Timur, 3433
Padang, Lumajang, Jawa Timur, 3434
Pasirian, Lumajang, Jawa Timur, 3435
Pasrujambe/Pasujambe, Lumajang, Jawa Timur, 3436
Pronojiwo, Lumajang, Jawa Timur, 3437
Randuagung, Lumajang, Jawa Timur, 3438
Ranuyoso, Lumajang, Jawa Timur, 3439
Rowokangkung, Lumajang, Jawa Timur, 3440
Senduro, Lumajang, Jawa Timur, 3441
Sukodono, Lumajang, Jawa Timur, 3442
Sumbersuko, Lumajang, Jawa Timur, 3443
Tekung, Lumajang, Jawa Timur, 3444
Tempeh, Lumajang, Jawa Timur, 3445
Tempursari, Lumajang, Jawa Timur, 3446
Yosowilangun, Lumajang, Jawa Timur, 3447
Bajo, Luwu, Sulawesi Selatan, 3448
Bajo Barat, Luwu, Sulawesi Selatan, 3449
Basse Sangtempe Utara, Luwu, Sulawesi Selatan, 3450
Bassesang Tempe (Bastem), Luwu, Sulawesi Selatan, 3451
Belopa, Luwu, Sulawesi Selatan, 3452
Belopa Utara, Luwu, Sulawesi Selatan, 3453
Bua, Luwu, Sulawesi Selatan, 3454
Bua Ponrang (Bupon), Luwu, Sulawesi Selatan, 3455
Kamanre, Luwu, Sulawesi Selatan, 3456
Lamasi, Luwu, Sulawesi Selatan, 3457
Lamasi Timur, Luwu, Sulawesi Selatan, 3458
Larompong, Luwu, Sulawesi Selatan, 3459
Larompong Selatan, Luwu, Sulawesi Selatan, 3460
Latimojong, Luwu, Sulawesi Selatan, 3461
Ponrang, Luwu, Sulawesi Selatan, 3462
Ponrang Selatan, Luwu, Sulawesi Selatan, 3463
Suli, Luwu, Sulawesi Selatan, 3464
Suli Barat, Luwu, Sulawesi Selatan, 3465
Walenrang, Luwu, Sulawesi Selatan, 3466
Walenrang Barat, Luwu, Sulawesi Selatan, 3467
Walenrang Timur, Luwu, Sulawesi Selatan, 3468
Walenrang Utara, Luwu, Sulawesi Selatan, 3469
Angkona, Luwu Timur, Sulawesi Selatan, 3470
Burau, Luwu Timur, Sulawesi Selatan, 3471
Kalaena, Luwu Timur, Sulawesi Selatan, 3472
Malili, Luwu Timur, Sulawesi Selatan, 3473
Mangkutana, Luwu Timur, Sulawesi Selatan, 3474
Nuha, Luwu Timur, Sulawesi Selatan, 3475
Tomoni, Luwu Timur, Sulawesi Selatan, 3476
Tomoni Timur, Luwu Timur, Sulawesi Selatan, 3477
Towuti, Luwu Timur, Sulawesi Selatan, 3478
Wasuponda, Luwu Timur, Sulawesi Selatan, 3479
Wotu, Luwu Timur, Sulawesi Selatan, 3480
Baebunta, Luwu Utara, Sulawesi Selatan, 3481
Bone-Bone, Luwu Utara, Sulawesi Selatan, 3482
Limbong, Luwu Utara, Sulawesi Selatan, 3483
Malangke, Luwu Utara, Sulawesi Selatan, 3484
Malangke Barat, Luwu Utara, Sulawesi Selatan, 3485
Mappedeceng, Luwu Utara, Sulawesi Selatan, 3486
Masamba, Luwu Utara, Sulawesi Selatan, 3487
Rampi, Luwu Utara, Sulawesi Selatan, 3488
Sabbang, Luwu Utara, Sulawesi Selatan, 3489
Seko, Luwu Utara, Sulawesi Selatan, 3490
Sukamaju, Luwu Utara, Sulawesi Selatan, 3491
Tana Lili, Luwu Utara, Sulawesi Selatan, 3492
Balerejo, Madiun, Jawa Timur, 3493
Dagangan, Madiun, Jawa Timur, 3494
Dolopo, Madiun, Jawa Timur, 3495
Geger, Madiun, Jawa Timur, 3496
Gemarang, Madiun, Jawa Timur, 3497
Jiwan, Madiun, Jawa Timur, 3498
Kare, Madiun, Jawa Timur, 3499
Kebonsari, Madiun, Jawa Timur, 3500
Madiun, Madiun, Jawa Timur, 3501
Mejayan, Madiun, Jawa Timur, 3502
Pilangkenceng, Madiun, Jawa Timur, 3503
Saradan, Madiun, Jawa Timur, 3504
Sawahan, Madiun, Jawa Timur, 3505
Wonoasri, Madiun, Jawa Timur, 3506
Wungu, Madiun, Jawa Timur, 3507
Kartoharjo, Madiun, Jawa Timur, 3508
Manguharjo, Madiun, Jawa Timur, 3509
Taman, Madiun, Jawa Timur, 3510
Bandongan, Magelang, Jawa Tengah, 3511
Borobudur, Magelang, Jawa Tengah, 3512
Candimulyo, Magelang, Jawa Tengah, 3513
Dukun, Magelang, Jawa Tengah, 3514
Grabag, Magelang, Jawa Tengah, 3515
Kajoran, Magelang, Jawa Tengah, 3516
Kaliangkrik, Magelang, Jawa Tengah, 3517
Mertoyudan, Magelang, Jawa Tengah, 3518
Mungkid, Magelang, Jawa Tengah, 3519
Muntilan, Magelang, Jawa Tengah, 3520
Ngablak, Magelang, Jawa Tengah, 3521
Ngluwar, Magelang, Jawa Tengah, 3522
Pakis, Magelang, Jawa Tengah, 3523
Salam, Magelang, Jawa Tengah, 3524
Salaman, Magelang, Jawa Tengah, 3525
Sawangan, Magelang, Jawa Tengah, 3526
Secang, Magelang, Jawa Tengah, 3527
Srumbung, Magelang, Jawa Tengah, 3528
Tegalrejo, Magelang, Jawa Tengah, 3529
Tempuran, Magelang, Jawa Tengah, 3530
Windusari, Magelang, Jawa Tengah, 3531
Magelang Selatan, Magelang, Jawa Tengah, 3532
Magelang Tengah, Magelang, Jawa Tengah, 3533
Magelang Utara, Magelang, Jawa Tengah, 3534
Barat, Magetan, Jawa Timur, 3535
Bendo, Magetan, Jawa Timur, 3536
Karangrejo, Magetan, Jawa Timur, 3537
Karas, Magetan, Jawa Timur, 3538
Kartoharjo (Kertoharjo), Magetan, Jawa Timur, 3539
Kawedanan, Magetan, Jawa Timur, 3540
Lembeyan, Magetan, Jawa Timur, 3541
Magetan, Magetan, Jawa Timur, 3542
Maospati, Magetan, Jawa Timur, 3543
Ngariboyo, Magetan, Jawa Timur, 3544
Nguntoronadi, Magetan, Jawa Timur, 3545
Panekan, Magetan, Jawa Timur, 3546
Parang, Magetan, Jawa Timur, 3547
Plaosan, Magetan, Jawa Timur, 3548
Poncol, Magetan, Jawa Timur, 3549
Sidorejo, Magetan, Jawa Timur, 3550
Sukomoro, Magetan, Jawa Timur, 3551
Takeran, Magetan, Jawa Timur, 3552
Argapura, Majalengka, Jawa Barat, 3553
Banjaran, Majalengka, Jawa Barat, 3554
Bantarujeg, Majalengka, Jawa Barat, 3555
Cigasong, Majalengka, Jawa Barat, 3556
Cikijing, Majalengka, Jawa Barat, 3557
Cingambul, Majalengka, Jawa Barat, 3558
Dawuan, Majalengka, Jawa Barat, 3559
Jatitujuh, Majalengka, Jawa Barat, 3560
Jatiwangi, Majalengka, Jawa Barat, 3561
Kadipaten, Majalengka, Jawa Barat, 3562
Kasokandel, Majalengka, Jawa Barat, 3563
Kertajati, Majalengka, Jawa Barat, 3564
Lemahsugih, Majalengka, Jawa Barat, 3565
Leuwimunding, Majalengka, Jawa Barat, 3566
Ligung, Majalengka, Jawa Barat, 3567
Maja, Majalengka, Jawa Barat, 3568
Majalengka, Majalengka, Jawa Barat, 3569
Malausma, Majalengka, Jawa Barat, 3570
Palasah, Majalengka, Jawa Barat, 3571
Panyingkiran, Majalengka, Jawa Barat, 3572
Rajagaluh, Majalengka, Jawa Barat, 3573
Sindang, Majalengka, Jawa Barat, 3574
Sindangwangi, Majalengka, Jawa Barat, 3575
Sukahaji, Majalengka, Jawa Barat, 3576
Sumberjaya, Majalengka, Jawa Barat, 3577
Talaga, Majalengka, Jawa Barat, 3578
Banggae, Majene, Sulawesi Barat, 3579
Banggae Timur, Majene, Sulawesi Barat, 3580
Malunda, Majene, Sulawesi Barat, 3581
Pamboang, Majene, Sulawesi Barat, 3582
Sendana, Majene, Sulawesi Barat, 3583
Tammeredo Sendana, Majene, Sulawesi Barat, 3584
Tubo (Tubo Sendana), Majene, Sulawesi Barat, 3585
Ulumunda, Majene, Sulawesi Barat, 3586
Biring Kanaya, Makassar, Sulawesi Selatan, 3587
Bontoala, Makassar, Sulawesi Selatan, 3588
Makassar, Makassar, Sulawesi Selatan, 3589
Mamajang, Makassar, Sulawesi Selatan, 3590
Manggala, Makassar, Sulawesi Selatan, 3591
Mariso, Makassar, Sulawesi Selatan, 3592
Panakkukang, Makassar, Sulawesi Selatan, 3593
Rappocini, Makassar, Sulawesi Selatan, 3594
Tallo, Makassar, Sulawesi Selatan, 3595
Tamalanrea, Makassar, Sulawesi Selatan, 3596
Tamalate, Makassar, Sulawesi Selatan, 3597
Ujung Pandang, Makassar, Sulawesi Selatan, 3598
Ujung Tanah, Makassar, Sulawesi Selatan, 3599
Wajo, Makassar, Sulawesi Selatan, 3600
Ampelgading, Malang, Jawa Timur, 3601
Bantur, Malang, Jawa Timur, 3602
Bululawang, Malang, Jawa Timur, 3603
Dampit, Malang, Jawa Timur, 3604
Dau, Malang, Jawa Timur, 3605
Donomulyo, Malang, Jawa Timur, 3606
Gedangan, Malang, Jawa Timur, 3607
Gondanglegi, Malang, Jawa Timur, 3608
Jabung, Malang, Jawa Timur, 3609
Kalipare, Malang, Jawa Timur, 3610
Karangploso, Malang, Jawa Timur, 3611
Kasembon, Malang, Jawa Timur, 3612
Kepanjen, Malang, Jawa Timur, 3613
Kromengan, Malang, Jawa Timur, 3614
Lawang, Malang, Jawa Timur, 3615
Ngajung (Ngajum), Malang, Jawa Timur, 3616
Ngantang, Malang, Jawa Timur, 3617
Pagak, Malang, Jawa Timur, 3618
Pagelaran, Malang, Jawa Timur, 3619
Pakis, Malang, Jawa Timur, 3620
Pakisaji, Malang, Jawa Timur, 3621
Poncokusumo, Malang, Jawa Timur, 3622
Pujon, Malang, Jawa Timur, 3623
Singosari, Malang, Jawa Timur, 3624
Sumbermanjing Wetan, Malang, Jawa Timur, 3625
Sumberpucung, Malang, Jawa Timur, 3626
Tajinan, Malang, Jawa Timur, 3627
Tirtoyudo, Malang, Jawa Timur, 3628
Tumpang, Malang, Jawa Timur, 3629
Turen, Malang, Jawa Timur, 3630
Wagir, Malang, Jawa Timur, 3631
Wajak, Malang, Jawa Timur, 3632
Wonosari, Malang, Jawa Timur, 3633
Blimbing, Malang, Jawa Timur, 3634
Kedungkandang, Malang, Jawa Timur, 3635
Klojen, Malang, Jawa Timur, 3636
Lowokwaru, Malang, Jawa Timur, 3637
Sukun, Malang, Jawa Timur, 3638
Bahau Hulu, Malinau, Kalimantan Utara, 3639
Kayan Hilir, Malinau, Kalimantan Utara, 3640
Kayan Hulu, Malinau, Kalimantan Utara, 3641
Kayan Selatan, Malinau, Kalimantan Utara, 3642
Malinau Barat, Malinau, Kalimantan Utara, 3643
Malinau Kota, Malinau, Kalimantan Utara, 3644
Malinau Selatan, Malinau, Kalimantan Utara, 3645
Malinau Selatan Hilir, Malinau, Kalimantan Utara, 3646
Malinau Selatan Hulu, Malinau, Kalimantan Utara, 3647
Malinau Utara, Malinau, Kalimantan Utara, 3648
Mentarang, Malinau, Kalimantan Utara, 3649
Mentarang Hulu, Malinau, Kalimantan Utara, 3650
Pujungan, Malinau, Kalimantan Utara, 3651
Sungai Boh, Malinau, Kalimantan Utara, 3652
Sungai Tubu, Malinau, Kalimantan Utara, 3653
Damer, Maluku Barat Daya, Maluku, 3654
Dawelor Dawera, Maluku Barat Daya, Maluku, 3655
Kepulauan Romang, Maluku Barat Daya, Maluku, 3656
Kisar Utara, Maluku Barat Daya, Maluku, 3657
Mdona Hyera/Hiera, Maluku Barat Daya, Maluku, 3658
Moa Lakor, Maluku Barat Daya, Maluku, 3659
Pulau Lakor, Maluku Barat Daya, Maluku, 3660
Pulau Letti (Leti Moa Lakor), Maluku Barat Daya, Maluku, 3661
Pulau Masela, Maluku Barat Daya, Maluku, 3662
Pulau Pulau Babar, Maluku Barat Daya, Maluku, 3663
Pulau Pulau Terselatan, Maluku Barat Daya, Maluku, 3664
Pulau Wetang, Maluku Barat Daya, Maluku, 3665
Pulau-Pulau Babar Timur, Maluku Barat Daya, Maluku, 3666
Wetar, Maluku Barat Daya, Maluku, 3667
Wetar Barat, Maluku Barat Daya, Maluku, 3668
Wetar Timur, Maluku Barat Daya, Maluku, 3669
Wetar Utara, Maluku Barat Daya, Maluku, 3670
Amahai, Maluku Tengah, Maluku, 3671
Banda, Maluku Tengah, Maluku, 3672
Leihitu, Maluku Tengah, Maluku, 3673
Leihitu Barat, Maluku Tengah, Maluku, 3674
Masohi Kota, Maluku Tengah, Maluku, 3675
Nusalaut, Maluku Tengah, Maluku, 3676
Pulau Haruku, Maluku Tengah, Maluku, 3677
Salahutu, Maluku Tengah, Maluku, 3678
Saparua, Maluku Tengah, Maluku, 3679
Saparua Timur, Maluku Tengah, Maluku, 3680
Seram Utara, Maluku Tengah, Maluku, 3681
Seram Utara Barat, Maluku Tengah, Maluku, 3682
Seram Utara Timur Kobi, Maluku Tengah, Maluku, 3683
Seram Utara Timur Seti, Maluku Tengah, Maluku, 3684
Tehoru, Maluku Tengah, Maluku, 3685
Teluk Elpaputih, Maluku Tengah, Maluku, 3686
Telutih, Maluku Tengah, Maluku, 3687
Teon Nila Serua, Maluku Tengah, Maluku, 3688
Hoat Sorbay, Maluku Tenggara, Maluku, 3689
Kei Besar, Maluku Tenggara, Maluku, 3690
Kei Besar Selatan, Maluku Tenggara, Maluku, 3691
Kei Besar Selatan Barat, Maluku Tenggara, Maluku, 3692
Kei Besar Utara Barat, Maluku Tenggara, Maluku, 3693
Kei Besar Utara Timur, Maluku Tenggara, Maluku, 3694
Kei Kecil, Maluku Tenggara, Maluku, 3695
Kei Kecil Barat, Maluku Tenggara, Maluku, 3696
Kei Kecil Timur, Maluku Tenggara, Maluku, 3697
Kei Kecil Timur Selatan, Maluku Tenggara, Maluku, 3698
Manyeuw, Maluku Tenggara, Maluku, 3699
Kormomolin, Maluku Tenggara Barat, Maluku, 3700
Molu Maru, Maluku Tenggara Barat, Maluku, 3701
Nirunmas, Maluku Tenggara Barat, Maluku, 3702
Selaru, Maluku Tenggara Barat, Maluku, 3703
Tanimbar Selatan, Maluku Tenggara Barat, Maluku, 3704
Tanimbar Utara, Maluku Tenggara Barat, Maluku, 3705
Wermakatian (Wer Maktian), Maluku Tenggara Barat, Maluku, 3706
Wertamrian, Maluku Tenggara Barat, Maluku, 3707
Wuarlabobar, Maluku Tenggara Barat, Maluku, 3708
Yaru, Maluku Tenggara Barat, Maluku, 3709
Aralle (Arrale), Mamasa, Sulawesi Barat, 3710
Balla, Mamasa, Sulawesi Barat, 3711
Bambang, Mamasa, Sulawesi Barat, 3712
Buntumalangka, Mamasa, Sulawesi Barat, 3713
Mamasa, Mamasa, Sulawesi Barat, 3714
Mambi, Mamasa, Sulawesi Barat, 3715
Mehalaan, Mamasa, Sulawesi Barat, 3716
Messawa, Mamasa, Sulawesi Barat, 3717
Nosu, Mamasa, Sulawesi Barat, 3718
Pana, Mamasa, Sulawesi Barat, 3719
Rantebulahan Timur, Mamasa, Sulawesi Barat, 3720
Sesena Padang, Mamasa, Sulawesi Barat, 3721
Sumarorong, Mamasa, Sulawesi Barat, 3722
Tabang, Mamasa, Sulawesi Barat, 3723
Tabulahan, Mamasa, Sulawesi Barat, 3724
Tanduk Kalua, Mamasa, Sulawesi Barat, 3725
Tawalian, Mamasa, Sulawesi Barat, 3726
Benuki, Mamberamo Raya, Papua, 3727
Mamberamo Hilir/Ilir, Mamberamo Raya, Papua, 3728
Mamberamo Hulu/Ulu, Mamberamo Raya, Papua, 3729
Mamberamo Tengah, Mamberamo Raya, Papua, 3730
Mamberamo Tengah Timur, Mamberamo Raya, Papua, 3731
Rofaer (Rufaer), Mamberamo Raya, Papua, 3732
Sawai, Mamberamo Raya, Papua, 3733
Waropen Atas, Mamberamo Raya, Papua, 3734
Eragayam, Mamberamo Tengah, Papua, 3735
Ilugwa, Mamberamo Tengah, Papua, 3736
Kelila, Mamberamo Tengah, Papua, 3737
Kobakma, Mamberamo Tengah, Papua, 3738
Megabilis (Megambilis), Mamberamo Tengah, Papua, 3739
Bonehau, Mamuju, Sulawesi Barat, 3740
Budong-Budong, Mamuju, Sulawesi Barat, 3741
Kalukku, Mamuju, Sulawesi Barat, 3742
Kalumpang, Mamuju, Sulawesi Barat, 3743
Karossa, Mamuju, Sulawesi Barat, 3744
Kep. Bala Balakang, Mamuju, Sulawesi Barat, 3745
Mamuju, Mamuju, Sulawesi Barat, 3746
Pangale, Mamuju, Sulawesi Barat, 3747
Papalang, Mamuju, Sulawesi Barat, 3748
Sampaga, Mamuju, Sulawesi Barat, 3749
Simboro dan Kepulauan, Mamuju, Sulawesi Barat, 3750
Tapalang, Mamuju, Sulawesi Barat, 3751
Tapalang Barat, Mamuju, Sulawesi Barat, 3752
Tobadak, Mamuju, Sulawesi Barat, 3753
Tommo, Mamuju, Sulawesi Barat, 3754
Topoyo, Mamuju, Sulawesi Barat, 3755
Bambaira, Mamuju Utara, Sulawesi Barat, 3756
Bambalamotu, Mamuju Utara, Sulawesi Barat, 3757
Baras, Mamuju Utara, Sulawesi Barat, 3758
Bulu Taba, Mamuju Utara, Sulawesi Barat, 3759
Dapurang, Mamuju Utara, Sulawesi Barat, 3760
Duripoku, Mamuju Utara, Sulawesi Barat, 3761
Lariang, Mamuju Utara, Sulawesi Barat, 3762
Pasangkayu, Mamuju Utara, Sulawesi Barat, 3763
Pedongga, Mamuju Utara, Sulawesi Barat, 3764
Sarjo, Mamuju Utara, Sulawesi Barat, 3765
Sarudu, Mamuju Utara, Sulawesi Barat, 3766
Tikke Raya, Mamuju Utara, Sulawesi Barat, 3767
Bunaken, Manado, Sulawesi Utara, 3768
Bunaken Kepulauan, Manado, Sulawesi Utara, 3769
Malalayang, Manado, Sulawesi Utara, 3770
Mapanget, Manado, Sulawesi Utara, 3771
Paal Dua, Manado, Sulawesi Utara, 3772
Sario, Manado, Sulawesi Utara, 3773
Singkil, Manado, Sulawesi Utara, 3774
Tikala, Manado, Sulawesi Utara, 3775
Tuminiting, Manado, Sulawesi Utara, 3776
Wanea, Manado, Sulawesi Utara, 3777
Wenang, Manado, Sulawesi Utara, 3778
Batahan, Mandailing Natal, Sumatera Utara, 3779
Batang Natal, Mandailing Natal, Sumatera Utara, 3780
Bukit Malintang, Mandailing Natal, Sumatera Utara, 3781
Huta Bargot, Mandailing Natal, Sumatera Utara, 3782
Kotanopan, Mandailing Natal, Sumatera Utara, 3783
Langga Bayu (Lingga Bayu), Mandailing Natal, Sumatera Utara, 3784
Lembah Sorik Merapi, Mandailing Natal, Sumatera Utara, 3785
Muara Batang Gadis, Mandailing Natal, Sumatera Utara, 3786
Muara Sipongi, Mandailing Natal, Sumatera Utara, 3787
Naga Juang, Mandailing Natal, Sumatera Utara, 3788
Natal, Mandailing Natal, Sumatera Utara, 3789
Pakantan, Mandailing Natal, Sumatera Utara, 3790
Panyabungan Barat, Mandailing Natal, Sumatera Utara, 3791
Panyabungan Kota, Mandailing Natal, Sumatera Utara, 3792
Panyabungan Selatan, Mandailing Natal, Sumatera Utara, 3793
Panyabungan Timur, Mandailing Natal, Sumatera Utara, 3794
Panyabungan Utara, Mandailing Natal, Sumatera Utara, 3795
Puncak Sorik Marapi/Merapi, Mandailing Natal, Sumatera Utara, 3796
Ranto Baek/Baik, Mandailing Natal, Sumatera Utara, 3797
Siabu, Mandailing Natal, Sumatera Utara, 3798
Sinunukan, Mandailing Natal, Sumatera Utara, 3799
Tambangan, Mandailing Natal, Sumatera Utara, 3800
Ulu Pungkut, Mandailing Natal, Sumatera Utara, 3801
Cibal, Manggarai, Nusa Tenggara Timur (NTT), 3802
Cibal Barat, Manggarai, Nusa Tenggara Timur (NTT), 3803
Langke Rembong, Manggarai, Nusa Tenggara Timur (NTT), 3804
Lelak, Manggarai, Nusa Tenggara Timur (NTT), 3805
Rahong Utara, Manggarai, Nusa Tenggara Timur (NTT), 3806
Reok, Manggarai, Nusa Tenggara Timur (NTT), 3807
Reok Barat, Manggarai, Nusa Tenggara Timur (NTT), 3808
Ruteng, Manggarai, Nusa Tenggara Timur (NTT), 3809
Satar Mese, Manggarai, Nusa Tenggara Timur (NTT), 3810
Satar Mese Barat, Manggarai, Nusa Tenggara Timur (NTT), 3811
Wae Rii, Manggarai, Nusa Tenggara Timur (NTT), 3812
Boleng, Manggarai Barat, Nusa Tenggara Timur (NTT), 3813
Komodo, Manggarai Barat, Nusa Tenggara Timur (NTT), 3814
Kuwus, Manggarai Barat, Nusa Tenggara Timur (NTT), 3815
Lembor, Manggarai Barat, Nusa Tenggara Timur (NTT), 3816
Lembor Selatan, Manggarai Barat, Nusa Tenggara Timur (NTT), 3817
Macang Pacar, Manggarai Barat, Nusa Tenggara Timur (NTT), 3818
Mbeliling, Manggarai Barat, Nusa Tenggara Timur (NTT), 3819
Ndoso, Manggarai Barat, Nusa Tenggara Timur (NTT), 3820
Sano Nggoang, Manggarai Barat, Nusa Tenggara Timur (NTT), 3821
Welak, Manggarai Barat, Nusa Tenggara Timur (NTT), 3822
Borong, Manggarai Timur, Nusa Tenggara Timur (NTT), 3823
Elar, Manggarai Timur, Nusa Tenggara Timur (NTT), 3824
Elar Selatan, Manggarai Timur, Nusa Tenggara Timur (NTT), 3825
Kota Komba, Manggarai Timur, Nusa Tenggara Timur (NTT), 3826
Lamba Leda, Manggarai Timur, Nusa Tenggara Timur (NTT), 3827
Poco Ranaka, Manggarai Timur, Nusa Tenggara Timur (NTT), 3828
Poco Ranaka Timur, Manggarai Timur, Nusa Tenggara Timur (NTT), 3829
Rana Mese, Manggarai Timur, Nusa Tenggara Timur (NTT), 3830
Sambi Rampas, Manggarai Timur, Nusa Tenggara Timur (NTT), 3831
Manokwari Barat, Manokwari, Papua Barat, 3832
Manokwari Selatan, Manokwari, Papua Barat, 3833
Manokwari Timur, Manokwari, Papua Barat, 3834
Manokwari Utara, Manokwari, Papua Barat, 3835
Masni, Manokwari, Papua Barat, 3836
Prafi, Manokwari, Papua Barat, 3837
Sidey, Manokwari, Papua Barat, 3838
Tanah Rubuh, Manokwari, Papua Barat, 3839
Warmare, Manokwari, Papua Barat, 3840
Dataran Isim, Manokwari Selatan, Papua Barat, 3841
Momi Waren, Manokwari Selatan, Papua Barat, 3842
Neney (Nenei), Manokwari Selatan, Papua Barat, 3843
Oransbari, Manokwari Selatan, Papua Barat, 3844
Ransiki, Manokwari Selatan, Papua Barat, 3845
Tahota (Tohota), Manokwari Selatan, Papua Barat, 3846
Assue, Mappi, Papua, 3847
Bamgi, Mappi, Papua, 3848
Citakmitak, Mappi, Papua, 3849
Edera, Mappi, Papua, 3850
Haju, Mappi, Papua, 3851
Kaibar, Mappi, Papua, 3852
Minyamur, Mappi, Papua, 3853
Nambioman Bapai (Mambioman), Mappi, Papua, 3854
Obaa, Mappi, Papua, 3855
Passue, Mappi, Papua, 3856
Passue Bawah, Mappi, Papua, 3857
Syahcame, Mappi, Papua, 3858
Ti Zain, Mappi, Papua, 3859
Venaha, Mappi, Papua, 3860
Yakomi, Mappi, Papua, 3861
Bantimurung, Maros, Sulawesi Selatan, 3862
Bontoa (Maros Utara), Maros, Sulawesi Selatan, 3863
Camba, Maros, Sulawesi Selatan, 3864
Cenrana, Maros, Sulawesi Selatan, 3865
Lau, Maros, Sulawesi Selatan, 3866
Mallawa, Maros, Sulawesi Selatan, 3867
Mandai, Maros, Sulawesi Selatan, 3868
Maros Baru, Maros, Sulawesi Selatan, 3869
Marusu, Maros, Sulawesi Selatan, 3870
Moncongloe, Maros, Sulawesi Selatan, 3871
Simbang, Maros, Sulawesi Selatan, 3872
Tanralili, Maros, Sulawesi Selatan, 3873
Tompu Bulu, Maros, Sulawesi Selatan, 3874
Turikale, Maros, Sulawesi Selatan, 3875
Ampenan, Mataram, Nusa Tenggara Barat (NTB), 3876
Cakranegara, Mataram, Nusa Tenggara Barat (NTB), 3877
Mataram, Mataram, Nusa Tenggara Barat (NTB), 3878
Sandubaya (Sandujaya), Mataram, Nusa Tenggara Barat (NTB), 3879
Sekarbela, Mataram, Nusa Tenggara Barat (NTB), 3880
Selaparang (Selaprang), Mataram, Nusa Tenggara Barat (NTB), 3881
Aifat, Maybrat, Papua Barat, 3882
Aifat Selatan, Maybrat, Papua Barat, 3883
Aifat Timur, Maybrat, Papua Barat, 3884
Aifat Timur Jauh, Maybrat, Papua Barat, 3885
Aifat Timur Selatan, Maybrat, Papua Barat, 3886
Aifat Timur Tengah, Maybrat, Papua Barat, 3887
Aifat Utara, Maybrat, Papua Barat, 3888
Aitinyo, Maybrat, Papua Barat, 3889
Aitinyo Barat, Maybrat, Papua Barat, 3890
Aitinyo Raya, Maybrat, Papua Barat, 3891
Aitinyo Tengah, Maybrat, Papua Barat, 3892
Aitinyo Utara, Maybrat, Papua Barat, 3893
Ayamaru, Maybrat, Papua Barat, 3894
Ayamaru Barat, Maybrat, Papua Barat, 3895
Ayamaru Jaya, Maybrat, Papua Barat, 3896
Ayamaru Selatan, Maybrat, Papua Barat, 3897
Ayamaru Selatan Jaya, Maybrat, Papua Barat, 3898
Ayamaru Tengah, Maybrat, Papua Barat, 3899
Ayamaru Timur, Maybrat, Papua Barat, 3900
Ayamaru Timur Selatan, Maybrat, Papua Barat, 3901
Ayamaru Utara, Maybrat, Papua Barat, 3902
Ayamaru Utara Timur, Maybrat, Papua Barat, 3903
Mare, Maybrat, Papua Barat, 3904
Mare Selatan, Maybrat, Papua Barat, 3905
Medan Amplas, Medan, Sumatera Utara, 3906
Medan Area, Medan, Sumatera Utara, 3907
Medan Barat, Medan, Sumatera Utara, 3908
Medan Baru, Medan, Sumatera Utara, 3909
Medan Belawan Kota, Medan, Sumatera Utara, 3910
Medan Deli, Medan, Sumatera Utara, 3911
Medan Denai, Medan, Sumatera Utara, 3912
Medan Helvetia, Medan, Sumatera Utara, 3913
Medan Johor, Medan, Sumatera Utara, 3914
Medan Kota, Medan, Sumatera Utara, 3915
Medan Labuhan, Medan, Sumatera Utara, 3916
Medan Maimun, Medan, Sumatera Utara, 3917
Medan Marelan, Medan, Sumatera Utara, 3918
Medan Perjuangan, Medan, Sumatera Utara, 3919
Medan Petisah, Medan, Sumatera Utara, 3920
Medan Polonia, Medan, Sumatera Utara, 3921
Medan Selayang, Medan, Sumatera Utara, 3922
Medan Sunggal, Medan, Sumatera Utara, 3923
Medan Tembung, Medan, Sumatera Utara, 3924
Medan Timur, Medan, Sumatera Utara, 3925
Medan Tuntungan, Medan, Sumatera Utara, 3926
Belimbing, Melawi, Kalimantan Barat, 3927
Belimbing Hulu, Melawi, Kalimantan Barat, 3928
Ella Hilir, Melawi, Kalimantan Barat, 3929
Menukung, Melawi, Kalimantan Barat, 3930
Nanga Pinoh, Melawi, Kalimantan Barat, 3931
Pinoh Selatan, Melawi, Kalimantan Barat, 3932
Pinoh Utara, Melawi, Kalimantan Barat, 3933
Sayan, Melawi, Kalimantan Barat, 3934
Sokan, Melawi, Kalimantan Barat, 3935
Tanah Pinoh, Melawi, Kalimantan Barat, 3936
Tanah Pinoh Barat, Melawi, Kalimantan Barat, 3937
Bangko, Merangin, Jambi, 3938
Bangko Barat, Merangin, Jambi, 3939
Batang Masumai, Merangin, Jambi, 3940
Jangkat, Merangin, Jambi, 3941
Lembah Masurai, Merangin, Jambi, 3942
